char	unicode_hex	code_hex	modes	frequency	first_seen_chunk	first_seen_row	source_count	notes
动	U+52A8	0x9090	1x1,1x2	112	chunk_0001	1	97	provisional
画	U+753B	0x9091	1x1,1x2	8	chunk_0001	1	7	provisional
面	U+9762	0x9092	1x1,1x2	102	chunk_0001	1	101	provisional
右	U+53F3	0x9093	1x1,1x2	27	chunk_0001	1	27	provisional
半	U+534A	0x9094	1x1,1x2	2	chunk_0001	1	2	provisional
边	U+8FB9	0x9095	1x1,1x2	46	chunk_0001	1	39	provisional
是	U+662F	0x9096	1x1,1x2	510	chunk_0001	1	471	provisional
方	U+65B9	0x9097	1x1,1x2	115	chunk_0001	1	108	provisional
阵	U+9635	0x9098	1x1,1x2	30	chunk_0001	1	19	provisional
地	U+5730	0x9099	1x1,1x2	102	chunk_0001	1	98	provisional
并	U+5E76	0x909A	1x1,1x2	28	chunk_0001	1	26	provisional
着	U+7740	0x909B	1x1,1x2	77	chunk_0001	1	76	provisional
位	U+4F4D	0x909C	1x1,1x2	11	chunk_0001	1	10	provisional
置	U+7F6E	0x909D	1x1,1x2	49	chunk_0001	1	35	provisional
中	U+4E2D	0x909E	1x1,1x2	270	chunk_0001	1	224	provisional
向	U+5411	0x909F	1x1,1x2	37	chunk_0001	1	31	provisional
前	U+524D	0x90A0	1x1,1x2	105	chunk_0001	1	104	provisional
往	U+5F80	0x90A1	1x1,1x2	52	chunk_0001	4	49	provisional
造	U+9020	0x90A3	1x1,1x2	150	chunk_0001	4	146	provisional
成	U+6210	0x90A4	1x1,1x2	345	chunk_0001	4	321	provisional
伤	U+4F24	0x90A5	1x1,1x2	178	chunk_0001	4	169	provisional
害	U+5BB3	0x90A6	1x1,1x2	190	chunk_0001	4	181	provisional
较	U+8F83	0x90A7	1x1,1x2	7	chunk_0001	4	6	provisional
高	U+9AD8	0x90A8	1x1,1x2	42	chunk_0001	4	37	provisional
但	U+4F46	0x90A9	1x1,1x2	64	chunk_0001	4	55	provisional
受	U+53D7	0x90AA	1x1,1x2	30	chunk_0001	4	28	provisional
增	U+589E	0x90AB	1x1,1x2	22	chunk_0001	4	15	provisional
加	U+52A0	0x90AC	1x1,1x2	88	chunk_0001	4	73	provisional
退	U+9000	0x90AD	1x1,1x2	6	chunk_0001	4	6	provisional
低	U+4F4E	0x90AE	1x1,1x2	20	chunk_0001	4	16	provisional
减	U+51CF	0x90AF	1x1,1x2	22	chunk_0001	4	20	provisional
少	U+5C11	0x90B0	1x1,1x2	47	chunk_0001	4	36	provisional
另	U+53E6	0x90B1	1x1,1x2	7	chunk_0001	4	7	provisional
外	U+5916	0x90B2	1x1,1x2	25	chunk_0001	4	23	provisional
从	U+4ECE	0x90B3	1x1,1x2	50	chunk_0001	4	48	provisional
正	U+6B63	0x90B4	1x1,1x2	61	chunk_0001	4	58	provisional
提	U+63D0	0x90B5	1x1,1x2	164	chunk_0001	4	70	provisional
升	U+5347	0x90B7	1x1,1x2	158	chunk_0001	4	67	provisional
要	U+8981	0x90B8	1x1,1x2	290	chunk_0001	4	247	provisional
根	U+6839	0x90B9	1x1,1x2	23	chunk_0001	4	23	provisional
据	U+636E	0x90BA	1x1,1x2	59	chunk_0001	4	58	provisional
情	U+60C5	0x90BB	1x1,1x2	40	chunk_0001	4	38	provisional
况	U+51B5	0x90BC	1x1,1x2	12	chunk_0001	4	12	provisional
灵	U+7075	0x90BD	1x1,1x2	215	chunk_0001	4	191	provisional
活	U+6D3B	0x90BE	1x1,1x2	46	chunk_0001	4	42	provisional
运	U+8FD0	0x90BF	1x1,1x2	12	chunk_0001	4	11	provisional
些	U+4E9B	0x90C0	1x1,1x2	54	chunk_0001	4	54	provisional
对	U+5BF9	0x90C1	1x1,1x2	297	chunk_0001	4	222	provisional
打	U+6253	0x90C3	1x1,1x2	77	chunk_0001	4	62	provisional
系	U+7CFB	0x90C5	1x1,1x2	21	chunk_0001	4	18	provisional
忍	U+5FCD	0x90C6	1x1,1x2	450	chunk_0001	4	383	provisional
术	U+672F	0x90C7	1x1,1x2	334	chunk_0001	4	275	provisional
样	U+6837	0x90C8	1x1,1x2	136	chunk_0001	4	134	provisional
反	U+53CD	0x90C9	1x1,1x2	15	chunk_0001	4	15	provisional
过	U+8FC7	0x90CA	1x1,1x2	117	chunk_0001	4	115	provisional
使	U+4F7F	0x90CB	1x1,1x2	191	chunk_0001	4	110	provisional
其	U+5176	0x90CC	1x1,1x2	53	chunk_0001	4	40	provisional
他	U+4ED6	0x90CD	1x1,1x2	84	chunk_0001	4	79	provisional
道	U+9053	0x90CF	1x1,1x2	142	chunk_0001	4	132	provisional
具	U+5177	0x90D0	1x1,1x2	104	chunk_0001	4	78	provisional
最	U+6700	0x90D1	1x1,1x2	73	chunk_0001	4	54	provisional
好	U+597D	0x90D2	1x1,1x2	435	chunk_0001	4	396	provisional
安	U+5B89	0x90D3	1x1,1x2	22	chunk_0001	4	22	provisional
全	U+5168	0x90D5	1x1,1x2	159	chunk_0001	4	130	provisional
基	U+57FA	0x90D6	1x1,1x2	25	chunk_0001	5	17	provisional
本	U+672C	0x90D7	1x1,1x2	60	chunk_0001	5	50	provisional
掌	U+638C	0x90D9	1x1,1x2	23	chunk_0001	5	23	provisional
握	U+63E1	0x90DA	1x1,1x2	5	chunk_0001	5	5	provisional
战	U+6218	0x90DB	1x1,1x2	243	chunk_0001	5	157	provisional
斗	U+6597	0x90DC	1x1,1x2	141	chunk_0001	5	99	provisional
了	U+4E86	0x90DD	1x1,1x2	785	chunk_0001	5	711	provisional
法	U+6CD5	0x90DE	1x1,1x2	83	chunk_0001	5	82	provisional
凝	U+51DD	0x90DF	1x1,1x2	12	chunk_0001	5	9	provisional
聚	U+805A	0x90E0	1x1,1x2	5	chunk_0001	5	4	provisional
查	U+67E5	0x90E1	1x1,1x2	161	chunk_0001	5	134	provisional
克	U+514B	0x90E2	1x1,1x2	160	chunk_0001	5	135	provisional
拉	U+62C9	0x90E4	1x1,1x2	151	chunk_0001	5	124	provisional
有	U+6709	0x90E8	1x1,1x2	373	chunk_0001	5	348	provisional
需	U+9700	0x90E9	1x1,1x2	20	chunk_0001	5	19	provisional
出	U+51FA	0x90EA	1x1,1x2	94	chunk_0001	5	88	provisional
现	U+73B0	0x90EB	1x1,1x2	51	chunk_0001	5	50	provisional
说	U+8BF4	0x90EC	1x1,1x2	242	chunk_0001	5	217	provisional
明	U+660E	0x90EF	1x1,1x2	46	chunk_0001	5	45	provisional
功	U+529F	0x90F0	1x1,1x2	87	chunk_0001	5	86	provisional
话	U+8BDD	0x90F1	1x1,1x2	171	chunk_0001	5	169	provisional
威	U+5A01	0x90F2	1x1,1x2	7	chunk_0001	5	4	provisional
力	U+529B	0x90F3	1x1,1x2	341	chunk_0001	5	234	provisional
效	U+6548	0x90F4	1x1,1x2	45	chunk_0001	5	22	provisional
果	U+679C	0x90F5	1x1,1x2	81	chunk_0001	5	57	provisional
利	U+5229	0x90F6	1x1,1x2	20	chunk_0001	5	20	provisional
啊	U+554A	0x90F7	1x1,1x2	485	chunk_0001	5	402	provisional
只	U+53EA	0x90F8	1x1,1x2	45	chunk_0002	0	45	provisional
装	U+88C5	0x90FA	1x1,1x2	86	chunk_0002	0	70	provisional
备	U+5907	0x90FB	1x1,1x2	95	chunk_0002	0	75	provisional
通	U+901A	0x90FC	1x1,1x2	225	chunk_0002	0	181	provisional
札	U+672D	0x9140	1x1,1x2	88	chunk_0002	0	84	provisional
召	U+53EC	0x9141	1x1,1x2	34	chunk_0002	0	33	provisional
唤	U+5524	0x9142	1x1,1x2	33	chunk_0002	0	33	provisional
兽	U+517D	0x9143	1x1,1x2	108	chunk_0002	0	102	provisional
让	U+8BA9	0x9144	1x1,1x2	70	chunk_0002	0	68	provisional
它	U+5B83	0x9145	1x1,1x2	19	chunk_0002	0	19	provisional
替	U+66FF	0x9146	1x1,1x2	48	chunk_0002	0	41	provisional
白	U+767D	0x9147	1x1,1x2	57	chunk_0002	0	52	provisional
收	U+6536	0x9148	1x1,1x2	82	chunk_0002	1	73	provisional
回	U+56DE	0x914A	1x1,1x2	80	chunk_0002	1	70	provisional
行	U+884C	0x914B	1x1,1x2	142	chunk_0002	1	134	provisional
无	U+65E0	0x914C	1x1,1x2	151	chunk_0002	2	137	provisional
在	U+5728	0x914D	1x1,1x2	294	chunk_0002	2	281	provisional
场	U+573A	0x914E	1x1,1x2	64	chunk_0002	2	41	provisional
不	U+4E0D	0x9150	1x1,1x2	578	chunk_0002	2	498	provisional
还	U+8FD8	0x9151	1x1,1x2	108	chunk_0002	2	106	provisional
很	U+5F88	0x9152	1x1,1x2	113	chunk_0002	2	110	provisional
弱	U+5F31	0x9154	1x1,1x2	15	chunk_0002	2	11	provisional
变	U+53D8	0x9155	1x1,1x2	59	chunk_0002	2	49	provisional
强	U+5F3A	0x9156	1x1,1x2	83	chunk_0002	2	68	provisional
越	U+8D8A	0x9157	1x1,1x2	14	chunk_0002	2	9	provisional
以	U+4EE5	0x9158	1x1,1x2	245	chunk_0002	2	218	provisional
别	U+522B	0x9159	1x1,1x2	56	chunk_0002	2	55	provisional
忘	U+5FD8	0x915A	1x1,1x2	4	chunk_0002	2	4	provisional
够	U+591F	0x915B	1x1,1x2	81	chunk_0002	2	21	provisional
那	U+90A3	0x915C	1x1,1x2	267	chunk_0002	2	255	provisional
去	U+53BB	0x915D	1x1,1x2	164	chunk_0002	2	158	provisional
破	U+7834	0x915E	1x1,1x2	57	chunk_0002	2	57	provisional
邪	U+90AA	0x915F	1x1,1x2	93	chunk_0002	2	87	provisional
谷	U+8C37	0x9160	1x1,1x2	70	chunk_0002	2	69	provisional
换	U+6362	0x9161	1x1,1x2	102	chunk_0003	0	76	provisional
候	U+5019	0x9162	1x1,1x2	33	chunk_0003	0	33	provisional
补	U+8865	0x9163	1x1,1x2	10	chunk_0003	0	9	provisional
色	U+8272	0x9164	1x1,1x2	74	chunk_0003	0	65	provisional
交	U+4EA4	0x9165	1x1,1x2	112	chunk_0003	0	85	provisional
手	U+624B	0x9167	1x1,1x2	338	chunk_0003	0	289	provisional
尽	U+5C3D	0x9168	1x1,1x2	8	chunk_0003	0	8	provisional
管	U+7BA1	0x9169	1x1,1x2	13	chunk_0003	0	13	provisional
练	U+7EC3	0x916A	1x1,1x2	21	chunk_0003	0	15	provisional
习	U+4E60	0x916B	1x1,1x2	12	chunk_0003	0	10	provisional
真	U+771F	0x916C	1x1,1x2	131	chunk_0003	1	128	provisional
麻	U+9EBB	0x916D	1x1,1x2	35	chunk_0003	1	34	provisional
烦	U+70E6	0x916E	1x1,1x2	26	chunk_0003	1	25	provisional
…	U+2026	0x9170	1x1,1x2	2329	chunk_0003	1	945	provisional
丁	U+4E01	0x9171	1x1,1x2	21	chunk_0003	1	19	provisional
顺	U+987A	0x9172	1x1,1x2	11	chunk_0003	2	11	provisional
结	U+7ED3	0x9173	1x1,1x2	50	chunk_0003	2	43	provisional
束	U+675F	0x9174	1x1,1x2	43	chunk_0003	2	39	provisional
合	U+5408	0x9175	1x1,1x2	34	chunk_0003	2	33	provisional
所	U+6240	0x9176	1x1,1x2	63	chunk_0003	2	61	provisional
积	U+79EF	0x9177	1x1,1x2	13	chunk_0003	2	12	provisional
极	U+6781	0x9178	1x1,1x2	15	chunk_0003	2	13	provisional
怎	U+600E	0x9179	1x1,1x2	83	chunk_0003	3	80	provisional
么	U+4E48	0x917A	1x1,1x2	319	chunk_0003	3	307	provisional
？	U+FF1F	0x917B	1x1,1x2	522	chunk_0003	3	411	provisional
稍	U+7A0D	0x917C	1x1,1x2	21	chunk_0003	3	19	provisional
微	U+5FAE	0x917D	1x1,1x2	36	chunk_0003	3	14	provisional
惯	U+60EF	0x917E	1x1,1x2	1	chunk_0003	3	1	provisional
吗	U+5417	0x9181	1x1,1x2	188	chunk_0003	3	167	provisional
更	U+66F4	0x9182	1x1,1x2	32	chunk_0003	3	29	provisional
任	U+4EFB	0x9183	1x1,1x2	65	chunk_0003	3	64	provisional
务	U+52A1	0x9184	1x1,1x2	62	chunk_0003	3	61	provisional
油	U+6CB9	0x9185	1x1,1x2	28	chunk_0003	3	27	provisional
哼	U+54FC	0x9186	1x1,1x2	31	chunk_0004	0	21	provisional
杂	U+6742	0x9187	1x1,1x2	6	chunk_0004	0	5	provisional
鱼	U+9C7C	0x9188	1x1,1x2	9	chunk_0004	0	8	provisional
终	U+7EC8	0x9189	1x1,1x2	11	chunk_0004	0	11	provisional
究	U+7A76	0x918A	1x1,1x2	5	chunk_0004	0	4	provisional
激	U+6FC0	0x918B	1x1,1x2	7	chunk_0004	0	7	provisional
龙	U+9F99	0x918C	1x1,1x2	46	chunk_0004	0	45	provisional
呀	U+5440	0x918D	1x1,1x2	50	chunk_0004	2	45	provisional
唔	U+5514	0x918E	1x1,1x2	12	chunk_0004	3	8	provisional
呃	U+5443	0x918F	1x1,1x2	24	chunk_0004	5	24	provisional
六	U+516D	0x9190	1x1,1x2	18	chunk_0005	0	18	provisional
没	U+6CA1	0x9191	1x1,1x2	177	chunk_0005	0	166	provisional
嘻	U+563B	0x9192	1x1,1x2	38	chunk_0005	1	14	provisional
点	U+70B9	0x9193	1x1,1x2	108	chunk_0005	1	99	provisional
小	U+5C0F	0x9194	1x1,1x2	152	chunk_0005	1	138	provisional
差	U+5DEE	0x9195	1x1,1x2	14	chunk_0005	1	14	provisional
多	U+591A	0x9196	1x1,1x2	133	chunk_0005	1	123	provisional
该	U+8BE5	0x9197	1x1,1x2	32	chunk_0005	1	32	provisional
认	U+8BA4	0x9198	1x1,1x2	24	chunk_0005	1	19	provisional
完	U+5B8C	0x9199	1x1,1x2	69	chunk_0005	2	63	provisional
呢	U+5462	0x919A	1x1,1x2	158	chunk_0005	2	157	provisional
嘿	U+563F	0x919B	1x1,1x2	57	chunk_0006	1	24	provisional
佐	U+4F50	0x919C	1x1,1x2	47	chunk_0007	1	43	provisional
助	U+52A9	0x919D	1x1,1x2	47	chunk_0007	1	43	provisional
君	U+541B	0x919E	1x1,1x2	24	chunk_0007	2	23	provisional
喂	U+5582	0x919F	1x1,1x2	44	chunk_0007	3	41	provisional
呵	U+5475	0x91A0	1x1,1x2	40	chunk_0008	0	18	provisional
起	U+8D77	0x91A1	1x1,1x2	131	chunk_0008	0	129	provisional
量	U+91CF	0x91A2	1x1,1x2	90	chunk_0008	0	72	provisional
凭	U+51ED	0x91A3	1x1,1x2	2	chunk_0008	0	2	provisional
们	U+4EEC	0x91A4	1x1,1x2	257	chunk_0008	0	233	provisional
种	U+79CD	0x91A5	1x1,1x2	93	chunk_0008	0	92	provisional
货	U+8D27	0x91A6	1x1,1x2	13	chunk_0008	0	12	provisional
阻	U+963B	0x91A7	1x1,1x2	5	chunk_0008	0	5	provisional
止	U+6B62	0x91A8	1x1,1x2	18	chunk_0008	0	16	provisional
失	U+5931	0x91A9	1x1,1x2	36	chunk_0008	0	34	provisional
原	U+539F	0x91AA	1x1,1x2	28	chunk_0009	0	25	provisional
岸	U+5CB8	0x91AB	1x1,1x2	2	chunk_0009	0	2	provisional
齐	U+9F50	0x91AC	1x1,1x2	35	chunk_0009	0	35	provisional
史	U+53F2	0x91AD	1x1,1x2	5	chunk_0009	0	5	provisional
集	U+96C6	0x91AE	1x1,1x2	99	chunk_0009	0	97	provisional
英	U+82F1	0x91AF	1x1,1x2	16	chunk_0009	0	12	provisional
社	U+793E	0x91B0	1x1,1x2	6	chunk_0009	0	5	provisional
《	U+300A	0x91B1	1x1,1x2	5	chunk_0009	0	5	provisional
周	U+5468	0x91B2	1x1,1x2	21	chunk_0009	0	20	provisional
刊	U+520A	0x91B3	1x1,1x2	2	chunk_0009	0	2	provisional
年	U+5E74	0x91B4	1x1,1x2	15	chunk_0009	0	15	provisional
》	U+300B	0x91B5	1x1,1x2	5	chunk_0009	0	5	provisional
连	U+8FDE	0x91B6	1x1,1x2	89	chunk_0009	0	63	provisional
载	U+8F7D	0x91B7	1x1,1x2	11	chunk_0009	0	9	provisional
演	U+6F14	0x91B8	1x1,1x2	27	chunk_0009	1	25	provisional
员	U+5458	0x91B9	1x1,1x2	56	chunk_0009	1	42	provisional
竹	U+7AF9	0x91BB	1x1,1x2	2	chunk_0009	1	2	provisional
内	U+5185	0x91BC	1x1,1x2	27	chunk_0009	1	24	provisional
子	U+5B50	0x91BD	1x1,1x2	295	chunk_0009	1	255	provisional
樱	U+6A31	0x91BF	1x1,1x2	56	chunk_0009	1	52	provisional
村	U+6751	0x91C0	1x1,1x2	134	chunk_0009	1	131	provisional
千	U+5343	0x91C1	1x1,1x2	41	chunk_0009	1	40	provisional
绘	U+7ED8	0x91C2	1x1,1x2	5	chunk_0009	1	5	provisional
奈	U+5948	0x91C3	1x1,1x2	21	chunk_0009	2	18	provisional
良	U+826F	0x91C4	1x1,1x2	7	chunk_0009	2	7	provisional
鹿	U+9E7F	0x91C5	1x1,1x2	35	chunk_0009	2	31	provisional
丸	U+4E38	0x91C6	1x1,1x2	143	chunk_0009	2	136	provisional
森	U+68EE	0x91C7	1x1,1x2	19	chunk_0009	2	19	provisional
久	U+4E45	0x91C8	1x1,1x2	14	chunk_0009	2	14	provisional
保	U+4FDD	0x91C9	1x1,1x2	59	chunk_0009	2	54	provisional
祥	U+7965	0x91CA	1x1,1x2	1	chunk_0009	2	1	provisional
太	U+592A	0x91CB	1x1,1x2	73	chunk_0009	2	69	provisional
郎	U+90CE	0x91CD	1x1,1x2	19	chunk_0009	2	17	provisional
秋	U+79CB	0x91CF	1x1,1x2	10	chunk_0009	2	10	provisional
伊	U+4F0A	0x91D0	1x1,1x2	27	chunk_0009	2	22	provisional
藤	U+85E4	0x91D1	1x1,1x2	8	chunk_0009	2	7	provisional
健	U+5065	0x91D2	1x1,1x2	3	chunk_0009	2	3	provisional
山	U+5C71	0x91D3	1x1,1x2	45	chunk_0009	2	40	provisional
井	U+4E95	0x91D4	1x1,1x2	21	chunk_0009	2	20	provisional
野	U+91CE	0x91D5	1x1,1x2	38	chunk_0009	2	31	provisional
柚	U+67DA	0x91D6	1x1,1x2	1	chunk_0009	2	1	provisional
木	U+6728	0x91D7	1x1,1x2	169	chunk_0009	2	155	provisional
凉	U+51C9	0x91D8	1x1,1x2	2	chunk_0009	2	2	provisional
香	U+9999	0x91D9	1x1,1x2	20	chunk_0009	2	20	provisional
犬	U+72AC	0x91DA	1x1,1x2	17	chunk_0009	3	17	provisional
冢	U+51A2	0x91DB	1x1,1x2	3	chunk_0009	3	3	provisional
牙	U+7259	0x91DC	1x1,1x2	40	chunk_0009	3	37	provisional
鸟	U+9E1F	0x91DD	1x1,1x2	14	chunk_0009	3	14	provisional
海	U+6D77	0x91DE	1x1,1x2	5	chunk_0009	3	5	provisional
浩	U+6D69	0x91DF	1x1,1x2	5	chunk_0009	3	4	provisional
辅	U+8F85	0x91E0	1x1,1x2	1	chunk_0009	3	1	provisional
日	U+65E5	0x91E1	1x1,1x2	24	chunk_0009	3	22	provisional
雏	U+96CF	0x91E2	1x1,1x2	22	chunk_0009	3	21	provisional
田	U+7530	0x91E4	1x1,1x2	40	chunk_0009	3	36	provisional
水	U+6C34	0x91E7	1x1,1x2	110	chunk_0009	3	88	provisional
树	U+6811	0x91E8	1x1,1x2	5	chunk_0009	3	5	provisional
女	U+5973	0x91E9	1x1,1x2	37	chunk_0009	3	32	provisional
志	U+5FD7	0x91EA	1x1,1x2	14	chunk_0009	3	12	provisional
乃	U+4E43	0x91EB	1x1,1x2	11	chunk_0009	3	10	provisional
川	U+5DDD	0x91EC	1x1,1x2	13	chunk_0009	3	11	provisional
绅	U+7EC5	0x91ED	1x1,1x2	1	chunk_0009	3	1	provisional
司	U+53F8	0x91EE	1x1,1x2	3	chunk_0009	3	3	provisional
洛	U+6D1B	0x91EF	1x1,1x2	2	chunk_0009	4	2	provisional
·	U+00B7	0x91F0	1x1,1x2	375	chunk_0009	4	331	provisional
李	U+674E	0x91F1	1x1,1x2	17	chunk_0009	4	16	provisional
洋	U+6D0B	0x91F2	1x1,1x2	1	chunk_0009	4	1	provisional
宁	U+5B81	0x91F3	1x1,1x2	13	chunk_0009	4	11	provisional
远	U+8FDC	0x91F4	1x1,1x2	20	chunk_0009	4	13	provisional
近	U+8FD1	0x91F5	1x1,1x2	27	chunk_0009	4	27	provisional
孝	U+5B5D	0x91F6	1x1,1x2	1	chunk_0009	4	1	provisional
天	U+5929	0x91F7	1x1,1x2	109	chunk_0009	4	86	provisional
爱	U+7231	0x91F8	1x1,1x2	65	chunk_0009	5	57	provisional
罗	U+7F57	0x91F9	1x1,1x2	20	chunk_0009	5	20	provisional
石	U+77F3	0x91FA	1x1,1x2	35	chunk_0009	5	35	provisional
彰	U+5F70	0x91FB	1x1,1x2	4	chunk_0009	5	4	provisional
鞠	U+97A0	0x91FC	1x1,1x2	13	chunk_0009	5	12	provisional
朴	U+6734	0x9240	1x1,1x2	2	chunk_0009	5	2	provisional
璐	U+7490	0x9241	1x1,1x2	1	chunk_0009	5	1	provisional
美	U+7F8E	0x9242	1x1,1x2	14	chunk_0009	5	13	provisional
勘	U+52D8	0x9243	1x1,1x2	10	chunk_0009	5	9	provisional
九	U+4E5D	0x9244	1x1,1x2	29	chunk_0009	5	28	provisional
濑	U+6FD1	0x9245	1x1,1x2	2	chunk_0009	5	2	provisional
康	U+5EB7	0x9246	1x1,1x2	3	chunk_0009	5	3	provisional
旗	U+65D7	0x9247	1x1,1x2	3	chunk_0009	6	3	provisional
卡	U+5361	0x9248	1x1,1x2	137	chunk_0009	6	71	provisional
西	U+897F	0x9249	1x1,1x2	65	chunk_0009	6	54	provisional
彦	U+5F66	0x924B	1x1,1x2	6	chunk_0009	6	5	provisional
迈	U+8FC8	0x924C	1x1,1x2	1	chunk_0009	6	1	provisional
特	U+7279	0x924D	1x1,1x2	47	chunk_0009	6	43	provisional
凯	U+51EF	0x924E	1x1,1x2	24	chunk_0009	6	20	provisional
江	U+6C5F	0x924F	1x1,1x2	1	chunk_0009	6	1	provisional
士	U+58EB	0x9250	1x1,1x2	8	chunk_0009	6	8	provisional
辣	U+8FA3	0x9251	1x1,1x2	1	chunk_0009	8	1	provisional
妹	U+59B9	0x9252	1x1,1x2	4	chunk_0009	8	3	provisional
暮	U+66AE	0x9254	1x1,1x2	1	chunk_0009	8	1	provisional
鲁	U+9C81	0x9255	1x1,1x2	21	chunk_0009	10	17	provisional
关	U+5173	0x9256	1x1,1x2	71	chunk_0009	10	70	provisional
