id	component	source_file	offset	raw_len	slot_len	raw_hex	jp_text	jp_key	zh_text	translation_source	encoded_hex	encoded_len	capacity_delta	missing_chars	status	notes
menu_overlay_0000_02FD94	overlay_0000	overlay/overlay_0000.bin	0x2FD94	6	8	82 A0 82 F1 82 D4	あんぶ	あんぶ	暗部	local_menu_dictionary	94 6C 93 46	4	4		ready	
menu_overlay_0000_02FD9C	overlay_0000	overlay/overlay_0000.bin	0x2FD9C	6	8	83 69 83 8B 83 67	ナルト	ナルト	鸣人	local_menu_dictionary	90 41 90 42	4	4		ready	
menu_overlay_0000_02FDA4	overlay_0000	overlay/overlay_0000.bin	0x2FDA4	6	8	83 7D 83 93 83 5F	マンダ	マンダ	万蛇	local_menu_dictionary	94 79 92 73	4	4		ready	
menu_overlay_0000_02FDAC	overlay_0000	overlay/overlay_0000.bin	0x2FDAC	6	8	83 54 83 58 83 50	サスケ	サスケ	佐助	local_menu_dictionary	91 9C 91 9D	4	4		ready	
menu_overlay_0000_02FDB4	overlay_0000	overlay/overlay_0000.bin	0x2FDB4	6	8	83 4A 83 4A 83 56	カカシ	カカシ	卡卡西	local_menu_dictionary	92 48 92 48 92 49	6	2		ready	
menu_overlay_0000_02FDBC	overlay_0000	overlay/overlay_0000.bin	0x2FDBC	6	8	83 4C 83 54 83 81	キサメ	キサメ	鬼鲛	local_menu_dictionary	92 64 92 66	4	4		ready	
menu_overlay_0000_02FDC4	overlay_0000	overlay/overlay_0000.bin	0x2FDC4	6	8	83 63 83 69 83 66	ツナデ	ツナデ	纲手	local_menu_dictionary	92 6F 91 67	4	4		ready	
menu_overlay_0000_02FDCC	overlay_0000	overlay/overlay_0000.bin	0x2FDCC	6	8	82 D3 82 C2 82 A4	ふつう	ふつう	普通	local_menu_dictionary	98 72 90 FC	4	4		ready	
menu_overlay_0000_02FDD4	overlay_0000	overlay/overlay_0000.bin	0x2FDD4	6	8	83 54 83 58 83 50	サスケ	サスケ	佐助	local_menu_dictionary	91 9C 91 9D	4	4		ready	
menu_overlay_0000_02FDDC	overlay_0000	overlay/overlay_0000.bin	0x2FDDC	8	12	83 70 83 62 83 4E 83 93	パックン	パックン	帕克	local_menu_dictionary	96 88 90 E2	4	8		ready	
menu_overlay_0000_02FDE8	overlay_0000	overlay/overlay_0000.bin	0x2FDE8	8	12	82 B3 82 A2 82 C4 82 A2	さいてい	さいてい	最低	local_menu_dictionary	90 D1 90 AE	4	8		ready	
menu_overlay_0000_02FDF4	overlay_0000	overlay/overlay_0000.bin	0x2FDF4	8	12	83 56 83 4A 83 7D 83 8B	シカマル	シカマル	鹿丸	local_menu_dictionary	91 C5 91 C6	4	8		ready	
menu_overlay_0000_02FE00	overlay_0000	overlay/overlay_0000.bin	0x2FE00	8	12	83 60 83 87 83 45 83 57	チョウジ	チョウジ	丁次	local_menu_dictionary	91 71 90 75	4	8		ready	
menu_overlay_0000_02FE0C	overlay_0000	overlay/overlay_0000.bin	0x2FE0C	8	12	83 65 83 93 83 65 83 93	テンテン	テンテン	天天	local_menu_dictionary	91 F7 91 F7	4	8		ready	
menu_overlay_0000_02FE18	overlay_0000	overlay/overlay_0000.bin	0x2FE18	8	12	82 B6 82 E7 82 A2 82 E2	じらいや	じらいや	自来也	local_menu_dictionary	90 50 90 4A 90 64	6	6		ready	
menu_overlay_0000_02FE24	overlay_0000	overlay/overlay_0000.bin	0x2FE24	8	12	82 B3 82 A2 82 C4 82 A2	さいてい	さいてい	最低	local_menu_dictionary	90 D1 90 AE	4	8		ready	
menu_overlay_0000_02FE30	overlay_0000	overlay/overlay_0000.bin	0x2FE30	8	12	83 4A 83 7D 83 5E 83 8A	カマタリ	カマタリ	镰多利	local_menu_dictionary	95 E5 91 96 90 F6	6	6		ready	
menu_overlay_0000_02FE3C	overlay_0000	overlay/overlay_0000.bin	0x2FE3C	10	12	82 B3 82 A2 82 B1 82 A4 81 49	さいこう！	さいこう！	最高！	local_menu_dictionary	90 D1 90 A8 90 43	6	6		ready	
menu_overlay_0000_02FE48	overlay_0000	overlay/overlay_0000.bin	0x2FE48	10	12	82 B3 82 A2 82 B1 82 A4 81 49	さいこう！	さいこう！	最高！	local_menu_dictionary	90 D1 90 A8 90 43	6	6		ready	
menu_overlay_0000_02FE54	overlay_0000	overlay/overlay_0000.bin	0x2FE54	10	12	83 4A 83 93 83 4E 83 8D 83 45	カンクロウ	カンクロウ	勘九郎	local_menu_dictionary	92 43 92 44 91 CD	6	6		ready	
menu_overlay_0000_02FE60	overlay_0000	overlay/overlay_0000.bin	0x2FE60	10	12	83 4B 83 43 82 CC 94 45 8B 54	ガイの忍亀	ガイの忍亀	凯的忍龟	local_menu_dictionary	92 4E 90 72 90 C6 99 C4	8	4		ready	
menu_overlay_0000_02FE6C	overlay_0000	overlay/overlay_0000.bin	0x2FE6C	10	12	83 4A 83 93 83 4E 83 8D 83 45	カンクロウ	カンクロウ	勘九郎	local_menu_dictionary	92 43 92 44 91 CD	6	6		ready	
menu_overlay_0000_02FE78	overlay_0000	overlay/overlay_0000.bin	0x2FE78	10	12	83 4B 83 7D 83 75 83 93 91 BE	ガマブン太	ガマブン太	蛤蟆文太	local_menu_dictionary	95 BE 95 BF 92 A4 91 CB	8	4		ready	
menu_overlay_0000_02FE84	overlay_0000	overlay/overlay_0000.bin	0x2FE84	10	12	83 7E 83 6A 83 4A 83 63 83 86	ミニカツユ	ミニカツユ	小蛞蝓	local_menu_dictionary	91 94 99 46 96 87	6	6		ready	
menu_overlay_0000_02FE90	overlay_0000	overlay/overlay_0000.bin	0x2FE90	10	12	83 49 83 8D 83 60 82 DC 82 E9	オロチまる	オロチまる	大蛇丸	local_menu_dictionary	92 6A 92 73 91 C6	6	6		ready	
menu_overlay_0000_03006C	overlay_0000	overlay/overlay_0000.bin	0x3006C	10	12	82 BD 82 A2 82 BF 82 E5 82 A4	たいちょう	たいちょう	队长	local_menu_dictionary	94 9E 94 5B	4	8		ready	
menu_overlay_0000_0300E8	overlay_0000	overlay/overlay_0000.bin	0x300E8	20	24	81 40 81 40 81 40 82 BB 82 A4 82 D1 82 BF 82 E3 82 A4 81 40	　　　そうびちゅう　	そうびちゅう	装备中	local_menu_dictionary	90 FA 90 FB 90 9E	6	18		ready	
menu_overlay_0000_030100	overlay_0000	overlay/overlay_0000.bin	0x30100	66	68	81 40 81 40 81 40 82 A0 82 AA 82 E9 81 40 81 40 81 40 82 A8 82 C8 82 B6 81 40 81 40 81 40 81 40 81 40 81 40 81 40 81 40 82 B3 82 AA 82 E9 81 40 81 40 81 40 82 BB 82 A4 82 D1 82 BF 82 E3 82 A4 81 40	　　　あがる　　　おなじ　　　　　　　　さがる　　　そうびちゅう　	あがる　　　おなじ　　　　　　　　さがる　　　そうびちゅう	提升　　　相同　　　　　　　　下降　　　装备中	local_menu_dictionary	90 B5 90 B7 94 91 94 91 94 91 94 B6 95 7E 94 91 94 91 94 91 94 91 94 91 94 91 94 91 94 91 90 8E 96 6D 94 91 94 91 94 91 90 FA 90 FB 90 9E	46	22		ready	
menu_overlay_0000_030144	overlay_0000	overlay/overlay_0000.bin	0x30144	24	28	83 5A 83 62 83 67 82 C5 82 AB 82 E9 83 4C 83 83 83 89 83 4E 83 5E 81 5B	セットできるキャラクター	セットできるキャラクター	可装备角色	local_menu_dictionary	93 A6 90 FA 90 FB 90 7E 91 64	10	18		ready	
menu_overlay_0000_030160	overlay_0000	overlay/overlay_0000.bin	0x30160	16	20	82 BB 82 A4 82 D1 82 B6 82 E5 82 A4 82 BD 82 A2	そうびじょうたい	そうびじょうたい	装备状态	local_menu_dictionary	90 FA 90 FB 95 DF 96 4D	8	12		ready	
menu_overlay_0000_030178	overlay_0000	overlay/overlay_0000.bin	0x30178	16	24	82 BD 82 A2 82 BF 82 E5 82 A4 82 B1 82 A4 82 A9	たいちょうこうか	たいちょうこうか	队长效果	local_menu_dictionary	94 9E 94 5B 90 F4 90 F5	8	16		ready	
menu_overlay_0000_030190	overlay_0000	overlay/overlay_0000.bin	0x30190	6	8	82 E2 82 E9 82 AB	やるき	やるき	干劲	local_menu_dictionary	92 62 93 98	4	4		ready	
menu_overlay_0000_0301F8	overlay_0000	overlay/overlay_0000.bin	0x301F8	26	28	82 B0 82 F1 82 B4 82 A2 82 CC 82 AF 82 A2 82 AF 82 F1 82 BF 81 40 81 40 81 40	げんざいのけいけんち　　　	げんざいのけいけんち	当前经验值	local_menu_dictionary	93 F2 90 A0 92 8C 93 6A 95 7C	10	18		ready	
menu_overlay_0000_030214	overlay_0000	overlay/overlay_0000.bin	0x30214	26	28	82 C2 82 AC 82 CC 83 8C 83 78 83 8B 82 DC 82 C5 81 40 82 A0 82 C6 81 40 81 40	つぎのレベルまで　あと　　	つぎのレベルまで　あと	距下一级还差	local_menu_dictionary	97 B6 90 8E 90 74 97 56 91 51 91 95	12	16		ready	
menu_overlay_0000_030230	overlay_0000	overlay/overlay_0000.bin	0x30230	6	8	25 73 81 5E 25 73	%s／%s	%s／%s	%s／%s	local_menu_dictionary	25 73 81 5E 25 73	6	2		ready	
menu_overlay_0000_030244	overlay_0000	overlay/overlay_0000.bin	0x30244	14	16	25 73 81 5E 25 73 81 40 25 73 81 5E 25 73	%s／%s　%s／%s	%s／%s　%s／%s	%s／%s　%s／%s	local_menu_dictionary	25 73 81 5E 25 73 94 91 25 73 81 5E 25 73	14	2		ready	
menu_overlay_0000_030434	overlay_0000	overlay/overlay_0000.bin	0x30434	4	8	82 CD 82 A2	はい	はい	是	local_menu_dictionary	90 96	2	6		ready	
menu_overlay_0000_03043C	overlay_0000	overlay/overlay_0000.bin	0x3043C	6	8	82 A2 82 A2 82 A6	いいえ	いいえ	否	local_menu_dictionary	96 71	2	6		ready	
menu_overlay_0001_01EC60	overlay_0001	overlay/overlay_0001.bin	0x1EC60	34	36	82 C2 82 A4 82 B5 82 F1 83 47 83 89 81 5B 82 AA 81 40 82 CD 82 C1 82 B9 82 A2 82 B5 82 DC 82 B5 82 BD	つうしんエラーが　はっせいしました	つうしんエラーが　はっせいしました	发生通信错误	local_menu_dictionary	93 9A 92 71 90 FC 93 6F 90 7B 97 E2	12	24		ready	
menu_overlay_0001_01EC84	overlay_0001	overlay/overlay_0001.bin	0x1EC84	36	40	82 C2 82 A4 82 B5 82 F1 83 47 83 89 81 5B 82 AA 81 40 82 CD 82 C1 82 B9 82 A2 82 B5 82 DC 82 B5 82 BD 81 49	つうしんエラーが　はっせいしました！	つうしんエラーが　はっせいしました！	发生通信错误！	local_menu_dictionary	93 9A 92 71 90 FC 93 6F 90 7B 97 E2 90 43	14	26		ready	
menu_overlay_0001_01ECC4	overlay_0001	overlay/overlay_0001.bin	0x1ECC4	20	24	83 60 83 83 83 4E 83 89 82 AA 82 BD 82 E8 82 C8 82 A2 81 49	チャクラがたりない！	チャクラがたりない！	查克拉不足！	local_menu_dictionary	90 E1 90 E2 90 E4 91 50 97 75 90 43	12	12		ready	
menu_overlay_0001_01ECDC	overlay_0001	overlay/overlay_0001.bin	0x1ECDC	22	24	8F 70 82 AA 82 D3 82 A4 82 B6 82 E7 82 EA 82 C4 82 A2 82 E9 81 49	術がふうじられている！	術がふうじられている！	术被封印！	local_menu_dictionary	90 C7 94 D8 96 48 97 76 90 43	10	14		ready	
menu_overlay_0001_01ECF4	overlay_0001	overlay/overlay_0001.bin	0x1ECF4	22	24	82 C9 82 B0 82 E7 82 EA 82 C8 82 A9 82 C1 82 BD 81 45 81 45 81 45	にげられなかった・・・	にげられなかった・・・	没能逃走…	local_menu_dictionary	91 91 90 65 97 8C 95 93 91 70	10	14		ready	
menu_overlay_0001_01ED0C	overlay_0001	overlay/overlay_0001.bin	0x1ED0C	14	16	82 C9 82 B0 82 E7 82 EA 82 C8 82 A2 81 49	にげられない！	にげられない！	无法逃走！	local_menu_dictionary	91 4C 90 DE 97 8C 95 93 90 43	10	6		ready	
menu_overlay_0001_01ED1C	overlay_0001	overlay/overlay_0001.bin	0x1ED1C	24	28	82 CD 81 40 82 A8 82 BF 82 B1 82 F1 82 C5 82 A2 82 E9 81 45 81 45 81 45	は　おちこんでいる・・・	は　おちこんでいる・・・	正在沮丧…	local_menu_dictionary	90 B4 91 4D 95 61 95 5E 91 70	10	18		ready	
menu_overlay_0001_01ED38	overlay_0001	overlay/overlay_0001.bin	0x1ED38	20	24	82 CD 81 40 95 40 8C 8C 82 F0 82 D3 82 A2 82 BD 81 49 81 49	は　鼻血をふいた！！	は　鼻血をふいた！！	流鼻血了！！	local_menu_dictionary	93 FC 95 8D 95 8E 90 DD 90 43 90 43	12	12		ready	
menu_overlay_0001_01ED50	overlay_0001	overlay/overlay_0001.bin	0x1ED50	36	40	82 B5 82 E3 82 C1 82 AF 82 C2 82 BD 82 E8 82 E5 82 A4 82 C5 81 40 93 AE 82 AF 82 C8 82 A2 81 45 81 45 81 45	しゅっけつたりょうで　動けない・・・	しゅっけつたりょうで　動けない・・・	出血过多，无法动弹…	local_menu_dictionary	90 EA 95 8E 90 CA 91 96 90 60 91 4C 90 DE 90 90 94 8F 91 70	20	20		ready	
menu_overlay_0001_01ED78	overlay_0001	overlay/overlay_0001.bin	0x1ED78	20	24	82 CD 81 40 82 B1 82 C1 82 BB 82 E8 82 DD 82 C4 82 A2 82 E9	は　こっそりみている	は　こっそりみている	正在偷偷看	local_menu_dictionary	90 B4 91 4D 95 5A 95 5A 90 8B	10	14		ready	
menu_overlay_0001_01ED90	overlay_0001	overlay/overlay_0001.bin	0x1ED90	22	24	82 CD 81 40 95 40 82 CC 89 BA 82 AA 82 CC 82 D1 82 C4 82 A2 82 E9	は　鼻の下がのびている	は　鼻の下がのびている	正在偷看	local_menu_dictionary	90 B4 91 4D 95 5A 90 8B	8	16		ready	
menu_overlay_0001_01EE3C	overlay_0001	overlay/overlay_0001.bin	0x1EE3C	6	8	82 A2 82 C7 82 A4	いどう	いどう	移动	local_menu_dictionary	90 8F 90 90	4	4		ready	
menu_overlay_0001_01EE44	overlay_0001	overlay/overlay_0001.bin	0x1EE44	8	12	82 B1 82 A4 82 BD 82 A2	こうたい	こうたい	替换	local_menu_dictionary	91 46 91 61	4	8		ready	
menu_overlay_0001_01EE50	overlay_0001	overlay/overlay_0001.bin	0x1EE50	6	8	82 E0 82 C7 82 E9	もどる	もどる	返回	local_menu_dictionary	97 5B 91 4A	4	4		ready	
menu_overlay_0001_01EE58	overlay_0001	overlay/overlay_0001.bin	0x1EE58	8	12	82 DA 82 A4 82 AC 82 E5	ぼうぎょ	ぼうぎょ	防御	local_menu_dictionary	94 C5 96 4E	4	8		ready	
menu_overlay_0001_01EE64	overlay_0001	overlay/overlay_0001.bin	0x1EE64	6	8	82 C9 82 B0 82 E9	にげる	にげる	逃跑	local_menu_dictionary	97 8C 93 9D	4	4		ready	
menu_overlay_0001_01EE6C	overlay_0001	overlay/overlay_0001.bin	0x1EE6C	8	12	82 BA 82 F1 82 BD 82 A2	ぜんたい	ぜんたい	全体	local_menu_dictionary	90 D5 93 69	4	8		ready	
menu_overlay_0001_01EE78	overlay_0001	overlay/overlay_0001.bin	0x1EE78	10	12	83 60 83 83 83 4E 83 89 81 40	チャクラ　	チャクラ	查克拉	local_menu_dictionary	90 E1 90 E2 90 E4	6	6		ready	
menu_overlay_0001_01EE84	overlay_0001	overlay/overlay_0001.bin	0x1EE84	10	12	82 B1 82 B7 82 A4 81 40 81 40	こすう　　	こすう	数量	local_menu_dictionary	96 6C 91 A2	4	8		ready	
menu_overlay_0001_01EE90	overlay_0001	overlay/overlay_0001.bin	0x1EE90	26	28	8F 70 82 AA 81 40 82 D3 82 A4 82 B6 82 E7 82 EA 82 C4 82 A2 82 DC 82 B7 81 49	術が　ふうじられています！	術が　ふうじられています！	术已被封印！	local_menu_dictionary	90 C7 94 5A 94 D8 96 48 97 76 90 43	12	16		ready	
menu_overlay_0001_01EEAC	overlay_0001	overlay/overlay_0001.bin	0x1EEAC	24	28	83 60 83 83 83 4E 83 89 82 AA 81 40 82 BD 82 E8 82 DC 82 B9 82 F1 81 49	チャクラが　たりません！	チャクラが　たりません！	查克拉不足！	local_menu_dictionary	90 E1 90 E2 90 E4 91 50 97 75 90 43	12	16		ready	
menu_overlay_0001_01EEC8	overlay_0001	overlay/overlay_0001.bin	0x1EEC8	36	40	82 BB 82 A4 82 D1 82 C5 81 40 8F 70 82 AA 81 40 82 D3 82 A4 82 B6 82 E7 82 EA 82 C4 82 A2 82 DC 82 B7 81 49	そうびで　術が　ふうじられています！	そうびで　術が　ふうじられています！	装备使术被封印！	local_menu_dictionary	90 FA 90 FB 90 CB 90 C7 94 D8 96 48 97 76 90 43	16	24		ready	
menu_overlay_0001_01EEF0	overlay_0001	overlay/overlay_0001.bin	0x1EEF0	26	28	82 BD 82 A2 82 B9 82 F1 82 C5 82 CD 81 40 82 C2 82 A9 82 A6 82 DC 82 B9 82 F1	たいせんでは　つかえません	たいせんでは　つかえません	对战中不能使用	local_menu_dictionary	90 C1 90 DB 90 9E 91 50 90 65 90 CB 90 66	14	14		ready	
menu_overlay_0001_01EF0C	overlay_0001	overlay/overlay_0001.bin	0x1EF0C	26	28	82 AB 82 F1 82 B6 82 E3 82 C2 82 CD 81 40 82 C2 82 A9 82 A6 82 DC 82 B9 82 F1	きんじゅつは　つかえません	きんじゅつは　つかえません	禁术不能使用	local_menu_dictionary	94 DC 90 C7 91 50 90 65 90 CB 90 66	12	16		ready	
menu_overlay_0001_01EF28	overlay_0001	overlay/overlay_0001.bin	0x1EF28	20	24	82 A2 82 DC 82 CD 81 40 82 C2 82 A9 82 A6 82 DC 82 B9 82 F1	いまは　つかえません	いまは　つかえません	现在不能使用	local_menu_dictionary	90 EB 91 4D 91 50 90 65 90 CB 90 66	12	12		ready	
menu_overlay_0001_01EF40	overlay_0001	overlay/overlay_0001.bin	0x1EF40	8	12	82 A9 82 B0 95 AA 90 67	かげ分身	かげ分身	影分身	local_menu_dictionary	92 7B 94 73 93 EC	6	6		ready	
menu_overlay_0001_01EF4C	overlay_0001	overlay/overlay_0001.bin	0x1EF4C	12	16	82 B5 82 E1 82 E8 82 F1 82 AA 82 F1	しゃりんがん	しゃりんがん	写轮眼	local_menu_dictionary	95 80 90 4E 93 EE	6	10		ready	
menu_overlay_0001_01EF5C	overlay_0001	overlay/overlay_0001.bin	0x1EF5C	10	12	82 D1 82 E1 82 AD 82 AA 82 F1	びゃくがん	びゃくがん	白眼	local_menu_dictionary	91 47 93 EE	4	8		ready	
menu_overlay_0001_01EF68	overlay_0001	overlay/overlay_0001.bin	0x1EF68	12	16	94 AA 96 E5 82 C6 82 F1 82 B1 82 A4	八門とんこう	八門とんこう	八门遁甲	local_menu_dictionary	92 C0 94 C2 96 79 95 DB	8	8		ready	
menu_overlay_0001_01EF78	overlay_0001	overlay/overlay_0001.bin	0x1EF78	14	16	82 A4 82 BF 82 C8 82 E9 83 54 83 4E 83 89	うちなるサクラ	うちなるサクラ	内在小樱	local_menu_dictionary	91 BC 91 4D 91 94 91 BF	8	8		ready	
menu_overlay_0001_01EF88	overlay_0001	overlay/overlay_0001.bin	0x1EF88	24	28	82 B6 82 E5 82 A4 82 BD 82 A2 82 C5 81 40 82 C2 82 A9 82 A6 82 DC 82 B7	じょうたいで　つかえます	じょうたいで　つかえます	该状态下可用	local_menu_dictionary	91 97 95 DF 96 4D 90 8E 93 A6 90 66	12	16		ready	
menu_overlay_0001_01EFA4	overlay_0001	overlay/overlay_0001.bin	0x1EFA4	18	20	83 60 83 83 83 4E 83 89 82 CB 82 E8 81 40 82 C8 82 B5	チャクラねり　なし	チャクラねり　なし	无查克拉凝聚	local_menu_dictionary	91 4C 90 E1 90 E2 90 E4 90 DF 90 E0	12	8		ready	
menu_overlay_0001_01EFB8	overlay_0001	overlay/overlay_0001.bin	0x1EFB8	18	20	83 60 83 83 83 4E 83 89 82 CB 82 E8 81 40 82 A0 82 E8	チャクラねり　あり	チャクラねり　あり	有查克拉凝聚	local_menu_dictionary	90 E8 90 E1 90 E2 90 E4 90 DF 90 E0	12	8		ready	
menu_overlay_0001_01EFCC	overlay_0001	overlay/overlay_0001.bin	0x1EFCC	8	12	82 B1 82 A4 82 B0 82 AB	こうげき	こうげき	攻击	local_menu_dictionary	90 44 90 45	4	8		ready	
menu_overlay_0001_01EFD8	overlay_0001	overlay/overlay_0001.bin	0x1EFD8	6	8	82 B6 82 E3 82 C2	じゅつ	じゅつ	忍术	local_menu_dictionary	90 C6 90 C7	4	4		ready	
menu_overlay_0001_01EFE0	overlay_0001	overlay/overlay_0001.bin	0x1EFE0	6	8	82 C7 82 A4 82 AE	どうぐ	どうぐ	道具	local_menu_dictionary	90 CF 90 D0	4	4		ready	
menu_overlay_0001_01EFE8	overlay_0001	overlay/overlay_0001.bin	0x1EFE8	8	12	82 B1 82 A4 82 BD 82 A2	こうたい	こうたい	替换	local_menu_dictionary	91 46 91 61	4	8		ready	
